
INFO Tue Jun 27 08:31:09 CEST 2023 JVM version: 1.8.0_121 Heap size: total: 573046784B, max: 1398276096B, free: 371374288B, nr cores: 4, using: 1
INFO: doing warm-up run...
...warm-up done!
CONFIGS baseline	lazy	nuxmv
CONFIG nuxmv IS SolveSatisfy --timeout 30000 --backend nuxmv --nr-unknown-to-start-materialise 6 --restart-timeout-factor 500 
CONFIG baseline IS SolveSatisfy --timeout 30000 --backend baseline --nr-unknown-to-start-materialise 6 --restart-timeout-factor 500 
CONFIG lazy IS SolveSatisfy --timeout 30000 --backend lazy --nr-unknown-to-start-materialise 6 --restart-timeout-factor 500 
TIMEOUT 30000
HARD TIMEOUT 18600000 milliseconds FOR ALL
RESULT ../../../anonymous/deduped-benchmarks/28085.par	t30.002611752	u1.639452765	t30.04183949
RESULT ../../../anonymous/deduped-benchmarks/27621.par	u6.288765704	u0.747685528	t30.030146071
RESULT ../../../anonymous/deduped-benchmarks/27789.par	t30.139239899	t32.717501198	t30.029841193
RESULT ../../../anonymous/deduped-benchmarks/27821.par	t30.051779882	t33.018081768	t30.026812821
RESULT ../../../anonymous/deduped-benchmarks/28074.par	t30.004518787	u1.601169738	t30.060580524
RESULT ../../../anonymous/deduped-benchmarks/27613.par	u4.343884414	u0.754142646	t30.03202475
RESULT ../../../anonymous/deduped-benchmarks/27767.par	u5.176700688	u0.749863911	t30.036713188
RESULT ../../../anonymous/deduped-benchmarks/28030.par	t30.037963985	t32.626948684	t30.021612821
RESULT ../../../anonymous/deduped-benchmarks/27829.par	t30.007258896	s16.269884784	t30.019136251
RESULT ../../../anonymous/deduped-benchmarks/27826.par	t30.01818327	t32.814621879	t30.019764762
RESULT ../../../anonymous/deduped-benchmarks/27994.par	t30.002550747	s12.064704775	t30.020220667
RESULT ../../../anonymous/deduped-benchmarks/27820.par	t30.027800998	t32.650294893	t30.023150148
RESULT ../../../anonymous/deduped-benchmarks/2809.par	t30.01652169	t32.497846505	s20.937705745
RESULT ../../../anonymous/deduped-benchmarks/27970.par	t30.017828742	u1.664749527	t30.0686401
RESULT ../../../anonymous/deduped-benchmarks/27802.par	t30.001999529	s1.814848619	s9.232113323
